"operador","id-operador","id-servicio-orbyta","cliente/uso","direccion","capacidad","order-de-compra","esta-vigente","moneda"
"STARLINK","09-ACC-1316158-52041-2 / KIT300230455","20-0145-001","CEMENTERIO METROPOLITANO","AV. PRESIDENTE JOSé JOAQUíN PRIETO VIAL 8152, Lo Espejo",,"ST 09","SI","CLP"
"UFINET","CLCLORB10085097C",,"Orbyta","Capacidad Ethernet 100Mbps-DC Orbyta-cliente",,2553,"SI","UF"
"UFINET","CLCLORB10087325C",,"Orbyta","Entre DC Orbyta y DC Ufinet",10000,2585,"SI","UF"
"NETLINE AIR SPA","NAIR-761993798","13-0006-052","CONSTRUCTORA EXCON S.A","Cañada del Carmen parcela 7, Lampa ",20,2805,"SI","UF"
"GTD","RedPriv_Enlace_010403308 ","23-0007-001","MERSEN CHILE LIMITADA","AVENIDA EINSTEIN 781,RECOLETA,SANTIAGO",,2976,"SI","UF"
"GTD","EnMPLSFO_010309731","12-0004-192","AGROCOMMERCE S.A.","AVENIDA JOSE MIGUEL INFANTE 8745,RENCA,SANTIAGO",200,2524,"SI","UF"
"Grupo ZGH","KVM-04-4G",,"Orbyta Uso Interno Transito Ip","La Concepción 141",,,"SI","$"
"Grupo ZGH","Burstable Percentil 99 ",,"Orbyta Uso Interno Transito Ip","La Concepción 141",,,"SI","USD"
"UFINET","CLCLORB10087782C","19-0139-012","Clínica Odontología Smartdent SPA","NUEVA DE LYON 72",100,2592,"SI","UF"
"UFINET","CLCLORB10091594C"," 13-0012-273","Nodo Edificio LC7","Avenida Presidente Riesco 5537, Las Condes.",100,2679,"SI","UF"
"GTD","RedPriv_010394285 ","18-0127-039","Yolito","AVENIDA LAS CONDES 7090,LAS CONDES,SANTIAGO",,2932,"SI","UF"
"GTD"," EnMPLSFO_010361091","16-0078-072","Pentacrom SA","AVENIDA MARATHON 3610,MACUL,SANTIAGO",,3177,"SI","UF"
"GTD","EnMPLS-FO_010296554","16-0078-060","PENTACROM S.A","AVENIDA OJOS DEL SALADO 3115,VALPARAISO,VALPARAISO",100,2387,"SI","UF"
"CLARO","20-06-0010110660",,"Orbyta","E1 Adicional + 100 numeros",,"534/2204","SI","UF"
"STARLINK","10-ACC-1499517-95156-27 / KIT300231370","18-0002-036","Hotel La Leonera SPA","CAMINO LA LEONERA S/N",,"ST 10","SI","CLP"
"STARLINK","11-ACC-1502346-18598-17 / KIT300232961","23-0013-001","Delgado","AVENIDA LAS ACACIAS 02500, San Bernardo",,"ST 11","SI","CLP"
"STARLINK","12-ACC-1502373-85148-12 / KIT300232283","17-0061-023","EGC SpA","JOSé MIGUEL INFANTE 8765, Renca",,"ST 12","SI","CLP"
"STARLINK","13-ACC-1523203-11200-85 / KIT300232717","22-0059-003","IMA SPA","V822 W9F COLINA  (FAENA LAS TORTOLAS)",,"ST 13","SI","CLP"
"UFINET","CLCLORB10091599C","17-0214-028","TVN","Eliodoro Yañez 1783",10,2661,"SI","UF"
"GTD","EnMPLSFO_010392275","15-0085-079","Laborarotio LVN SpA","AVENIDA PRESIDENTE JOSE BATTLE Y ORDONEZ 3923,NUNOA,SANTIAGO",,2916,"SI","UF"
"GTD"," EnMPLSFO_010375285 ","17-0214-026","TVN Pamplona","AVENIDA PROVIDENCIA 1208,PROVIDENCIA,SANTIAGO",,2855,"SI","UF"
"GTD"," RedPriv_010533314 (EnMPLSFO_010361688)","16-0024-015","Inversiones Java SpA","AVENIDA PROVIDENCIA 2348,PROVIDENCIA,SANTIAGO",10,2900,"SI","UF"
"STARLINK","13-ACC-1523203-11200-85 / KIT302915069","22-0059-021","IMA SPA","MINERA CENTINELA CAMINO RUTA B229 KM 30 NOROESTE DE SIERRA GORDA",,"ST 13 - 3292","SI","CLP"
"STARLINK","13-ACC-1523203-11200-85 / KIT303030893",,"IMA SPA",,,"ST 13 - 3292","SI","CLP"
"STARLINK","13-ACC-1523203-11200-85 / KIT302915075"," 22-0059-005","IMA SPA","AV. FERTILIZANTES SUBESTACION ATACAMA TRANSELEC, MEJILLONES",,"ST 13 - 3292","SI","CLP"
"STARLINK","13-ACC-1523203-11200-85 / KIT303238323",,"IMA SPA",,,"ST 13 - 3323","SI","CLP"
"STARLINK","14-ACC-1728777-84730-26 / KIT300663632","21-0099-012","PROMET MONTAJES SPA (disponible)","INSTALACIóN DE FAENA CICLONES 33°07’48”S - Colina",,"ST 14","SI","CLP"
"STARLINK","15-ACC-1728900-85269-22 / KIT300663628","Casa JO","JOSE OLEA ex Gestion Vial","Oxford 631",,"ST 15","SI","CLP"
"GTD","EnMPLSFO_010343698","13-0096-005","DELLA TOFFOLA SUDAMERICA S.A.","AVENIDA PUERTA SUR 0 3400,SAN BERNARDO,MAIPO",20,2602,"SI","UF"
"GTD"," EnMPLSFO_010379879 ","21-0070-010","AMG COMUNICACIONES SPA ","BANDERA 84,SANTIAGO,SANTIAGO",,2854,"SI","UF"
"GTD","EnMPLSFO_010208566","18-0127-013","YOLITO BALART HERMANOS LIMITADA","Barros Luco 3419 Lampa",100,2036,"SI","UF"
"UFINET","CLCLORB10091600C","13-0012-314","Nodo Valle 2","AV. DEL VALLE 576",100,2662,"SI","UF"
"GTD","EnMPLSFO_010357854","18-0230-004","Elaboradora de envases EDENSA","CAMINO BUIN MAIPO 2060,BUIN,MAIPO",100,2762,"SI","UF"
"GTD","EnMPLS-FO_010369505","16-0078-065","Pentacrom SA","CAMINO LOS CARROS 1955 5B16,CONCEPCION,CONCEPCION",,2815,"SI","UF"
"GTD","EnMPLSFO_010426649","21-0233-005","GoldTelecom","CANAL LA PUNTA 8770,RENCA,SANTIAGO",,3007,"SI","UF"
"GTD"," RedPriv_010533311 (EnMPLSFO_010361089)","18-0141-023","Inmobiliaria Gracia","CARLOS FERNANDEZ CONCHA 260,SAN JOAQUIN,SANTIAGO",100,2899,"SI","UF"
"GTD"," EnMPLSFO_010462248","16-0012-020","Asesorías legales RV Ltda.","DON CARLOS 2939 7,LAS CONDES,SANTIAGO",100,3216,"SI","UF"
"STARLINK","16-ACC-1897955-47689-43 / KIT301067628","22-0322-019","PRODALAM S A","AVENIDA OHIGGINS 2963, CHILLAN NORTE",,"ST16","SI","CLP"
"STARLINK","16-ACC-1897955-47689-43 / KIT301099028","22-0322-020","PRODALAM S A","CALLE PRESIDENTE RIOS 1099, VILLARRICA",,"ST16","SI","CLP"
"STARLINK","16-ACC-1897955-47689-43 / KIT301099996","22-0322-015","PRODALAM S A","AVDA. EL AGUA 15320,  PARQUE INDUSTRIAL LA PORTADA, ANTOFAGASTA",,"ST16","SI","CLP"
"STARLINK","16-ACC-1897955-47689-43 / KIT301100001","22-0322-014","PRODALAM S A","RUTA A-16 4550, ALTO HOSPICIO - Iquique",,"ST16","SI","CLP"
"STARLINK","16-ACC-1897955-47689-43 / KIT301101387","12-0009-035","UNION PACIFIC TRADING CHILE COMERCIAL LTDA. (UPAC)","CARRETERA SAN MARTíN S/N, Colina",,"ST16","SI","CLP"
"STARLINK","16-ACC-1897955-47689-43 / KIT301101388","22-0322-016","PRODALAM S A","BAQUEDANO 882, VILLA ALEMANA, VALPARAíSO",,"ST16","SI","CLP"
"STARLINK","16-ACC-1897955-47689-43 / KIT301418580",,"IMA SPA","Salamanca",,"ST16 - 3236","SI","CLP"
"STARLINK","16-ACC-1897955-47689-43 / KIT301419782",,"IMA SPA","Iquique",,"ST16 - 3236","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT300809858","15-0102-149","AGROCOMERCIAL CODIGUA SPA","FUNDO MULPULMO KM. 16 RUTA N° 215 (retornó este equipo?)",,"ST17","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT301098983","23-0367-003","Industrias Ceresita S A","Camino Santa Marta 1050, Maipú",,"ST17 - 3142","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT301099004","23-0367-005","Industrias Ceresita S A","Pedro Antonio González 3702, Estación Central",,"ST17 - 3143","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT301099005","23-0367-001","Industrias Ceresita S A","Camino Lo Echevers 851, Quilicura",,"ST17 - 3141","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT301128617","22-0322-013","PRODALAM S A","AVDA. SIMóN BOLIVAR, PUERTA LAS AMéRICAS - Arica",,"ST17 - 3123","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT301129905","15-0102-149","AGROCOMERCIAL CODIGUA SPA","FUNDO MULPULMO KM. 16 RUTA N° 215",,"ST17 - 3163","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT301130411","14-0115-007 ","Grow Southwest S.A. (UPAC)","Crucero de Pencahue, San Vicente",,"ST17 - 3161","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT301130412","23-0464-001 ","SOC AGRICOLA HUINGAN LIMITADA","SAN LUIS S/N SECTOR LOS BOLDOS, LOS ÁNGELES",,"ST17 - 3160","SI","CLP"
"STARLINK","17-ACC-1898207-28830-21 / KIT301062064","Orbyta","Instalcion o Soporte","La Concepcion 141",,"ST17","SI","CLP"
"STARLINK","18-ACC-1901700-52644-4 / KIT300807367","15-0102-147","AGROCOMERCIAL CODIGUA SPA","ARTURO PRAT 372, Purranque",,"ST18 (2924)","SI","CLP"
"STARLINK","19-ACC-1903494-79459-29 / KIT301098692","21-0099-008","PROMET MONTAJES SPA (disponible)","INSTALACIóN DE FAENA CICLONES 33°07’48”S",,"ST19","SI","CLP"
"STARLINK","20-ACC-1907502-78191-15 / KIT301098702","15-0102-146","AGROCOMERCIAL CODIGUA SPA","RUTA 68 - KM 47,5 ( TALAGANTE) 33º42`25.1”S 71º00`40.4W",,"ST20","SI","CLP"
"STARLINK","20-ACC-1907502-78191-15 / KIT301417928","23-0423-004","HALLIBURTON SERVICIOS CHILE LIMITADA","CALLE DEL ARRIERO 05872, Punta Arenas",,"ST20 - 3236","SI","CLP"
"STARLINK","20-ACC-1907502-78191-15 / KIT",,"IMA SPA",,,"ST20 - 3254","SI","CLP"
"STARLINK","20-ACC-1907502-78191-15 / KIT",,"IMA SPA",,,"ST20 - 3254","SI","CLP"
"STARLINK","20-ACC-1907502-78191-15 / KIT",,"IMA SPA",,,"ST20 - 3254","SI","CLP"
"STARLINK","21-ACC-1937010-83356-11 / KIT301099059","Bodega Soporte","Soporte Orbyta","La Concepcion 141",,"ST21 - 2995","SI","CLP"
"STARLINK","22-ACC-1937403-12402-1 / KIT300807356","21-0099-016","PROMET MONTAJES SPA (disponible)","V74W+HH6 Colina, Chile",,"ST22 - 2924","SI","CLP"
"STARLINK","23-ACC-1938002-17212-1 / KIT300807428"," 15-0102-154","AGROCOMERCIAL CODIGUA SPA","ARTURO PRAT 372 (PURRANQUE 2)",,"ST23 - 2924","SI","CLP"
"STARLINK","23-ACC-1938002-17212-1 / KIT301067635","22-0322-017","PRODALAM S A","SANTA ADELA 10300, Maipu",,"ST23","SI","CLP"
"STARLINK","23-ACC-1938002-17212-1 / KIT301099031","22-0322-018","PRODALAM S A","ORIENTE LOTES 27 Y 28 MANZANA D, PARQUE INDUSTRIAL ESCUADRóN, CORONEL",,"ST23","SI","CLP"
"STARLINK","24-ACC-1938028-18236-16 / KIT300805910","15-0102-145","AGROCOMERCIAL CODIGUA SPA","Nataniel Cox 1935, Santiago",,"ST24 - 2924","SI","CLP"
"STARLINK","24-ACC-1938028-18236-16/KIT302725604",,"IDE Chile - SPA","Punta Blanca, Tocopilla,",,"ST24","SI","CLP"
"STARLINK","24-ACC-1938028-18236-16/KIT302725592",,"IMA SPA","Chillán, Chillan, Ñuble, Chile",,"ST24","SI","CLP"
"STARLINK","24-ACC-1938028-18236-16/KIT302725605",,"IMA SPA",,,"ST24","SI","CLP"
"STARLINK","24-ACC-1938028-18236-16/KIT302725606",,"IMA SPA","Colina, Santiago",,"ST24","SI","CLP"
"STARLINK","25-ACC-1938047-91869-30 / KIT300806850","22-0458-019","LABORATORIO LAVETSAN LIMITADA","JUANA CANALES 990,TALAGANTE,TALAGANTE",,"ST25 - 2924","SI","CLP"
"STARLINK","25-ACC-1938047-91869-30 / KIT KIT302725533",,"Bidfood Chile S.A ",,,"ST25 - 3254","SI","CLP"
"STARLINK","25-ACC-1938047-91869-30 / KIT KIT302725603",,"IMA SPA",,,"ST25 - 3254","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT300806836","15-0102-144","AGROCOMERCIAL CODIGUA SPA","AMéRICO VESPUCIO (ICESTAR)",,"ST26","SI","CLP"
"GTD","EnMPLSFO_010425471","21-0233-004","Gold Telecom INC","FLOR DE AZUCENA 42 5,LAS CONDES,SANTIAGO",100,2992,"SI","UF"
"GTD","EnMPLSFO_010358328","18-0127-029","Yolito Colina","GENERAL SAN MARTIN 6800, COLINA, CHACABUCO",100,2752,"SI","UF"
"TELEFONICA","LLAORB19816","23-0204-002","Loteo Agricola Privado Las Brisas de Chicureo","Carretera Gneral San Martin, Colina",100,3102,"SI","UF"
"GTD"," EnMPLS-FO_010408345","16-0078-069","PENTACROM S.A ","ITALIA 2313 B9, PUERTO MONTT, LLANQUIHUE",100,2984,"SI","UF"
"GTD","RedPriv_010393545","22-0458-002","LABORATORIO LAVETSAN LIMITADA ","JUANA CANALES 990,TALAGANTE,TALAGANTE",,2928,"SI","UF"
"GTD","EnMPLSFO_010350944","22-0110-001","El Condor Combustibles S.A.","LAS URBINAS 53 14",100,2739,"SI","UF"
"GTD","EnMPLSDC_010339005","13-0012-261","Orbyta","LIDICE 652,SANTIAGO,SANTIAGO",1000,2476,"SI","UF"
"GTD","EnMPLSFO_010347517",,"Enlace MPLS Datacenter","LIDICE 697,SANTIAGO",1000,2695,"SI","UF"
"UFINET","CLCLORB10091601C","13-0012-308","Nodo Barros Borgoño2","Dr Manuel Barros Borgoño 160",,2663,"SI","UF"
"UFINET","CLCLORB10091602C","18-0507-044","ADMINISTRADORA COLEGIOS PEDRO DE VALDIVIA SPA","PEDRO DE VALDIVIA 1939",100,2664,"SI","UF"
"GTD","Mbps RedPriv_010533307 ","13-0012-277","Nodo Los abedules","LOS ABEDULES 3085 -2,VITACURA,SANTIAGO",100,2896,"SI","UF"
"GTD","RedPriv_010402381"," 23-0012-001","COLORAMA S.A","LOS ALERCES 2096,NUNOA,SANTIAGO",,2960,"SI","UF"
"GTD","Mbps RedPriv_010533313","13-0012-278","Nodo Altos del Plomo A","LOS MILITARES 5890 -2 PISO -2, LAS CONDES, SANTIAGO",,2897,"SI","UF"
"GTD"," RedPriv_010378647 ","13-0012-281","Nodo Britania","LOS MILITARES 5953 -3,LAS CONDES,SANTIAGO",300,2883,"SI","UF"
"UFINET","CLCLORB10091604C","13-0012-305","Nodo Centro Kennedy","Avenida Kennedy 5770",,2666,"SI","UF"
"UFINET","CLCLORB10091606C","13-0012-293","Orbyta Nodo Antonio Bellet","Antonio Bellet  292",100,2667,"SI","UF"
"UFINET","CLCLORB10091607C","13-0012-309","ORBYTA","Avenida Kennedy 5488, Las Condes.",100,3178,"SI","UF"
"GTD","Mbps RedPriv_010534342 EnMPLSFO_010361097)","15-0102-137","AGROCOMERCIAL CODIGUA SPA","NATANIEL COX 1935, SANTIAGO, SANTIAGO",,2818,"SI","UF"
"GTD","EnMPLSFO_010393544","22-0458-002","LABORATORIO LAVETSAN LIMITADA","RAMON SUBERCASEAUX 1268 9 909, SAN MIGUEL, SANTIAGO",100,2927,"SI","UF"
"GTD","RedPriv_010384289 ","19-0139-017","Clínica Odontología Smartdent SPA","SAN MARTIN 524,CONCEPCION,CONCEPCION",,2955,"SI","UF"
"NETLINE AIR SPA","NAIR-761993798-07"," 15-0085-085","Laboratorio LVN SPA","CAMINO A MELIPILLA 18300 LOCAL 6 MAIPU",10,"3084 / 2642","SI","UF"
"UFINET","CLCLORB10091609C","13-0012-306","Nodo Barros Borgoño","Dr Barros Borgoño 71",,2670,"SI","UF"
"UFINET","CLCLORB10091611C","15-0067-040","ASOEX","Cruz del Sur 133, Las Condes",,2676,"SI","UF"
"UFINET","CLCLORB10091613C","13-0012-307","Nodo Barros Errazuriz","Barros Errázuriz 1900",,2673,"SI","UF"
"TELEFONICA","LLAORB20013-L3","23-0262-003","Comercial Dialum","AV. PDTE. EDUARDO FREI MONTALVA 18600",200,3186,"SI","UF"
"STARLINK","26-ACC-1947332-38715-18 / KIT300806842"," 23-0255-002","CENCOSUD S.A. - Se retira en julio del cliente, donde está?","SAN JOSE DE MAIPO 7722 , PUENTE ALTO",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT300809207","18-0128-001","CODELPA CHILE S.A.","AV INDEPENDENCIA 3055",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301062854","21-0192-003","TERQUIM S.A. (Odfjell Terminals Terquim S.A)","AVENIDA COSTANERA ORIENTE 4900  MEJILLONES, REGIóN DE ANTOFAGASTA",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301063540","23-0153-009","KINCELL SPA","LAS CATALPAS 500, Quilicura",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301063552","23-0153-001","KINCELL SPA","MAPOCHO 5998, Quinta Normal",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301065915","22-0322-006","Prodalam S A","AVDA. ALESSANDRI 1990, Curicó",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301065943","22-0539-001","Gestion Vial Limitada","RUTA 60 CH KM. TúNEL CRISTO REDENTOR, LOS ANDES (Cancha Pelada, Los Andes)",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301066076","15-0106-080","Bidfood Chile S.A ","CAMINO LO ECHEVERS 550, QUILICURA",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301066542","21-0192-005","TERQUIM S.A. (Odfjell Terminals Terquim S.A)","RECINTO PORTUARIO - CASILLA 148 SAN ANTONIO, REGIóN DE VALPARAíSO",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301067365","22-0322-007","Prodalam S A","Av Las Industrias 7060, Los Angeles",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301067825","15-0102-150","AGROCOMERCIAL CODIGUA SPA","Santa Laura 9, Talagante",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301098462","22-0322-012","Prodalam S A","CARLOS VALDOVINOS 1553, San Miguel",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301098803","22-0322-011","Prodalam S A","Las Canteras 110, Valparaiso",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301102059","22-0322-008","PRODALAM SALAMANCA COQUIMBO","PROVIDENCIA 495, Salamanca, Coquimbo, Chile",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301102061","22-0322-009","PRODALAM LA CALERA VALPARAISO","JOSÉ JOAQUíN NúñEZ 73, La Calera",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301102064","22-0322-010","Prodalam S A","KM. 6,5 SECTOR RECTA FOITZICK, CAMINO A BALMACEDA,, Coyhaique",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301130759","23-0287-004","INGENIERIA Y MOVIMIENTO DE TIERRAS TRANEX LIMITADA","AMERICO VESPUCIO 2001, Huechuraba",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301130762","Bodega Soporte o Instalaciones???","Soporte Orbyta o Instalaciones??","La Concepcion 141",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301132284","23-0090-001","ECOENER SERVICIOS S.A","-38.83761125,- 71.8130858,48 ,PREDIO SAN LORENZO S/N, MELIPEUCO, REGIóN DE LA ARAUCANíA. ZONA 19 H",,"ST26","SI","CLP"
"STARLINK","26-ACC-1947332-38715-18 / KIT301132313","22-0605-005","Sociedad Comercial Allendes Hermanos Limitada","AVENIDA AEROPUERTO 7308, Cerrillos",,"ST26","SI","CLP"
"NETLINE AIR SPA","NAIR-761993798-02","15-0085-060","Laboratorio LVN SPA","Central 6008, Pedro Aguirre Cerda",,2613,"SI","UF"
"NETLINE AIR SPA","NAIR-761993798","15-0085-061","Laboratorio LVN SPA","Cardenal Silva Henríquez 7987, La Granja",,2613,"SI","UF"
"UFINET","CLCLORB10091615C","SIN OS Enlace GTD Instalado","Nodo Parque Oriente (aceptamos la instalación por error)","ALONSO DE CORDOVA 5320",,2674,"SI","UF"
"UFINET","CLCLORB10091617C","12-0001-049","IMPORTADORA DILACO S.A.","ANIBAL ZAñARTU 2849",100,2675,"SI","UF"
"UFINET","CLCLORB10091620C","19-0340-046","Servicios Médicos Medicien S.A","Andres Bello 2294",50,2677,"SI","UF"
"UFINET","CLCLORB10094208C","22-0166-001","Perez de la Fuente Hermanos Ltda (bellota)","Providencia  entronque-Complejo Los Libertadores (Libertador Bernardo Ohiggins 139) ",10,2708,"SI","UF"
"UFINET","CLCLORB10094362C","18-0127-027","YOLITO BALART HERMANOS LIMITADA","La concepcion 141, Providencia -General San Martin 6800, Colina",100,2720,"SI","UF"
"UFINET","CLCLORB10096704C","22-0231-001","Solmex","Los Libertadores 126 (Solmex), Colina",100,2751,"SI","UF"
"UFINET","CLCLORB10099915C","22-0240-003","Composites Express","Manuel Rodriguez Sitio 65C",100,2794,"SI","UF"
"UFINET","CLCLORB10103327C","22-0349-010","LegalChile S.A.","Presidente Riesco 5335, of. 302 Las Condes",50,2844,"SI","UF"
"UFINET","CLCLORB10104203C","22-0382-001","Nutrapharm S.A.","Bernardo Ohiggins 156, Colina (Nutrapharm)",30,2856,"SI","UF"
"UFINET","CLCLORB10110083C","22-0534-001","APW Chile","Av Presidente Riesco 5561, of 501, Las Condes",200,2942,"SI","UF"
"GTD"," RedPriv_010378648 ",,"TNS Chile Technetsecurity S.A ","SANTO DOMINGO 1410 1,SANTIAGO,SANTIAGO",100,2882,"SI","UF"
"GTD","EnMPLSFO_010347517","22-0009-001","AC SECURITY LIMITADA","Valentin Letellier 1350",100,2636,"SI","UF"
"TELEFONICA","LLXORB18689","15-0085-054","Laboratorio LVN SPA","GRAN AVENIDA 95001",10,2540,"SI","UF"
"TELEFONICA","SIP2306473 LLAORB19663-L3",,"Orbyta","La Concepcion 141 a Chiloe 1930",100,2957,"SI","UF"
"STARLINK","B-ACC-3456173-71210-5 / KIT00266290","12-0001-044","Dilaco Renca","Aníbal Zañartu 2849",,"STB","SI","CLP"
"UFINET","CLCLORB10120211C","23-0287-005","INGENIERIA Y MOVIMIENTO DE TIERRAS TRANEX LIMITADA","AMERICO VESPUCIO 2001, HUACHURABA",100,3324,"SI","UF"
"TELEFONICA","LLAORB20073","22-0458-020","LABORATORIO LAVETSAN LIMITADA","JUANA CANALES 990,TALAGANTE,TALAGANTE",100,3242,"SI","UF"
"STARLINK","B-ACC-3456173-71210-5 / KIT301099059",,"Soporte Orbyta","San Bernardo",,"STB","SI","CLP"
"GTD","EnMPLSFO_010467937",,,"AVENIDA QUILIN 8669, PENALOLEN, SANTIAGO",,,"SI","UF"
"ENTEL",,,"Entronque Sip",,,,"SI","UF"
"STARLINK","16-ACC-1897955-47689-43 / KIT301098615",,,,,"STB","SI","CLP"
